,age,address,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,outcome,first_name,last_name,age_bucket,month_padded,day_padded,date
105,32,"41399 Lu3ttg3n Missi0n\nP0rt Guadalup3, GA 83777-4095",management,single,tertiary,False,574,True,False,cellular,14,apr,259,2,145,3,failure,False,chesley,bailey,3,04,14,14/04
110,21,"336CummerataSummitSt.\nTrantowmouth,OH30723",student,single,secondary,False,2488,False,False,cellular,30,jun,258,6,169,3,success,True,dane,klein,2,06,30,30/06
113,33,"4532 BEULAH JUNCTIONS APT. 735\NEAST RAPHAELVILLE, MA 10842",blue-collar,single,secondary,False,22,False,False,cellular,30,jan,76,2,207,1,failure,False,ellen,hoeger,3,01,30,30/01
124,51,"545JAV0NT3CR0SSR0ADST.\NN3WSINC3R3HAV3N,WY47651",management,single,tertiary,True,-55,True,False,cellular,11,may,281,2,266,6,failure,False,elyssa,nolan,5,05,11,11/05
128,32,"1274BrycenGlens\nWestKatarina,CO31104-3663",blue-collar,single,secondary,False,228,False,False,telephone,5,feb,176,1,288,3,failure,False,nathaniel,lueilwitz,3,02,05,05/02
133,48,"6812 Gayl0rd Isl3 Av3.\nS0uth Macishir3, PW 39839",admin.,married,unknown,False,0,True,False,cellular,8,may,85,1,168,2,failure,False,jaquan,cruickshank,4,05,08,08/05
136,29,"602JAIDENLOAFST.\NNORTHMUHAMMADFURT,AZ45534-7818",admin.,single,secondary,False,428,True,True,cellular,7,may,54,1,345,2,failure,False,amira,zieme,2,05,07,07/05
148,46,"9157 z03y bridg3 av3.\nkirlinshir3, fm 41569",admin.,married,secondary,False,179,True,False,cellular,29,jan,194,4,436,1,other,False,gladys,gusikowski,4,01,29,29/01
156,55,"1059 anahi divide ave.\neast timothystad, id 41715",admin.,married,secondary,False,602,False,False,cellular,1,jun,324,3,90,2,success,True,junior,brekke,5,06,01,01/06
157,55,"846 Rayn0r Gr33ns \nJ3rr3llbury, A3 14092-6324",technician,married,secondary,False,273,True,False,cellular,29,jan,84,3,183,3,failure,False,abagail,glover,5,01,29,29/01
164,28,"809PadbergStationSuite328\nWestLoma,KS46670",management,single,tertiary,False,80,False,False,cellular,20,oct,676,2,146,2,failure,True,bobby,dibbert,2,10,20,20/10
172,40,"537BlockLockSt.\nSeanborough,KY87688-4689",admin.,single,secondary,False,462,True,True,cellular,6,apr,272,1,335,4,other,False,osbaldo,cole,4,04,06,06/04
177,37,"3701ShanyLandingAve.\nShermanland,MS38569-8882",admin.,married,secondary,False,176,True,False,cellular,5,may,147,2,347,1,failure,False,ericka,shanahan,3,05,05,05/05
179,37,"80194FeilSummit\nSouthGreenborough,AR98444-0316",admin.,married,tertiary,False,0,True,False,cellular,17,nov,65,2,119,1,failure,False,gia,mills,3,11,17,17/11
186,34,"8474GottliebStravenueAve.\nNorthLondonmouth,KY78295-1784",admin.,married,tertiary,False,899,True,False,telephone,19,nov,377,3,7,4,success,False,niko,vonrueden,3,11,19,19/11
187,37,"43398 graham m0unt\ns0uth b3rni3c3, fm 82645",services,single,secondary,False,21,True,False,cellular,2,feb,96,1,271,2,other,False,kelsi,berge,3,02,02,02/02
188,36,"985 ALVAH MILLS SUITE 784\NSANFORDVILLE, TX 52683",technician,married,secondary,False,23,True,False,cellular,8,may,152,2,347,1,failure,False,deven,glover,3,05,08,08/05
199,75,"827RaynorLakesSt.\nKuvalisport,MA59210",retired,married,secondary,False,3771,False,False,telephone,15,apr,185,1,181,2,success,True,elyssa,bernier,7,04,15,15/04
200,34,"716 Schowalter Hill St.\nTurnermouth, KS 60089-9057",technician,single,tertiary,False,992,True,False,cellular,4,may,301,1,88,2,success,False,cornell,dooley,3,05,04,04/05
202,35,"19213Nad3rR0ads\nS0uthSv3np0rt,FM76399",technician,single,tertiary,False,2658,True,False,cellular,19,aug,768,2,141,3,failure,True,jaunita,hand,3,08,19,19/08
203,39,"2559 HETTINGER LODGE \NNEW JESSIKA, ME 97893-5684",management,divorced,tertiary,False,1315,True,False,cellular,19,nov,1337,4,126,1,failure,False,madeline,wisozk,3,11,19,19/11
207,29,"70203VALLIELIGHT\NSOUTHKYLEIGH,AE93734",technician,married,secondary,False,1599,True,False,cellular,8,jul,115,1,61,1,failure,False,maxwell,ernser,2,07,08,08/07
208,38,"87616 edythe lodge\nnorth myrtlebury, nh 71643",services,single,secondary,False,-196,True,False,cellular,2,feb,60,1,271,1,failure,False,friedrich,renner,3,02,02,02/02
212,38,"727MaxwellDamSuite729\nWestMinervaport,NC54786",technician,married,tertiary,False,432,True,False,cellular,15,may,10,2,373,1,other,False,elna,schulist,3,05,15,15/05
217,30,"4569 Rey Burgs Suite 711\nHeberburgh, FL 05937",blue-collar,married,secondary,False,975,True,False,cellular,13,may,256,2,351,2,failure,False,judd,kohler,3,05,13,13/05
227,33,"508WalterRadialApt.853\nPortCristalton,RI83235",technician,married,secondary,False,359,True,False,cellular,20,apr,210,1,242,1,other,False,marta,jacobi,3,04,20,20/04
229,35,"051 Gulgowski Mission Apt. 259\nBeckerfurt, AP 60014-0420",technician,married,tertiary,False,0,True,True,cellular,23,sep,112,1,62,6,other,False,isaiah,goyette,3,09,23,23/09
232,44,"6587 Devonte Fork Apt. 258\nFurmanfort, WY 97409-8239",technician,single,secondary,False,33,True,False,cellular,13,may,195,3,351,10,failure,False,wellington,roberts,4,05,13,13/05
233,45,"607 Glover Ridge St.\nSouth Rigoberto, AL 05038-1192",blue-collar,single,secondary,False,0,True,False,cellular,26,jul,768,2,91,5,success,False,dixie,johnson,4,07,26,26/07
236,33,"327CallieCauseway\nSouthTerrance,NM85287",blue-collar,married,secondary,False,3576,True,False,cellular,2,apr,124,1,308,2,other,False,howell,haley,3,04,02,02/04
245,36,"497 Hailey Flats St.\nDayanaton, IA 27202",management,married,tertiary,False,0,True,False,cellular,28,jan,60,1,250,1,other,False,antonia,pollich,3,01,28,28/01
249,43,"191 alford brooks st.\nport jeffrey, va 10347-6318",technician,married,secondary,False,0,False,True,cellular,8,may,9,2,172,5,failure,False,domingo,heller,4,05,08,08/05
253,58,"9773HettingerKeyApt.477\nSouthLilyantown,ND29730-7282",retired,married,primary,False,3401,True,False,cellular,3,feb,84,3,265,2,failure,False,zander,greenfelder,5,02,03,03/02
264,58,"7796LizzieViewsAve.\nKirlinchester,IL49805",technician,married,tertiary,False,883,False,False,cellular,18,aug,543,1,78,2,failure,False,weldon,schneider,5,08,18,18/08
270,40,"4195ParkerGardensAve.\nTyreeshire,HI62179-0739",services,married,secondary,False,0,True,False,cellular,2,jun,297,1,28,3,failure,False,lizzie,reynolds,4,06,02,02/06
276,35,"6810 GL3ICHN3R 3STAT3S \NMARVINF0RT, AZ 48169",housemaid,married,tertiary,False,11219,False,False,cellular,12,aug,699,2,79,1,failure,False,alyson,kunde,3,08,12,12/08
289,34,"3636 terrence manors \nnorth madisyn, mo 09845-0182",admin.,married,tertiary,False,69,False,True,cellular,4,aug,120,3,1,6,success,True,helmer,ferry,3,08,04,04/08
301,65,"01947 J0hnny Passag3\nW3st Tyr3s3, LA 18461-9906",retired,divorced,primary,False,1840,False,False,cellular,1,jun,383,2,188,5,failure,False,armando,dare,6,06,01,01/06
310,49,"6978LangworthTrailAve.\nRachelview,CT49007",blue-collar,married,secondary,False,8545,True,True,cellular,6,may,199,7,167,1,failure,False,garnett,schowalter,4,05,06,06/05
314,25,"7044 L0is Pin3 Apt. 692\nJ3ff3rych3st3r, AZ 39073",admin.,single,tertiary,False,760,True,False,cellular,27,may,223,3,89,2,failure,True,christian,weber,2,05,27,27/05
318,35,"0293 CHEYANNE TUNNEL AVE.\NWEST DOMINIC, AZ 70180",entrepreneur,married,secondary,False,2971,False,False,cellular,4,may,429,4,164,2,failure,True,valentin,stracke,3,05,04,04/05
323,38,"9064Sau3rLightAv3.\nW3stl3yvill3,D392256-8550",management,married,tertiary,False,1199,False,False,cellular,4,aug,178,1,1,1,success,True,avery,murazik,3,08,04,04/08
325,33,"55626 Florida Cliff\nPort Llewellynstad, CO 17997",technician,married,secondary,False,6699,False,False,cellular,9,nov,425,1,462,1,failure,False,elwin,bailey,3,11,09,09/11
328,35,"12633unaVistaSuit3045\nW3stRahulp0rt,MP49839",unemployed,married,secondary,False,978,False,False,cellular,29,dec,1370,3,209,3,success,True,rebecca,goldner,3,12,29,29/12
331,29,"1388 gaylord isle ave.\njerdeberg, ri 58872-7647",technician,single,tertiary,False,828,True,False,cellular,16,apr,215,3,321,3,other,False,trevion,o'keefe,2,04,16,16/04
337,33,"035AlanaPike\nAiyanaburgh,AS09133",management,single,tertiary,False,1410,True,False,cellular,5,feb,8,1,254,5,failure,False,bradford,renner,3,02,05,05/02
338,63,"862WeissnatHarborsSt.\nPortBrendenville,ME40155",retired,married,primary,False,1084,False,False,cellular,14,oct,201,1,183,1,success,False,guy,rodriguez,6,10,14,14/10
340,41,"82341 Zieme Stravenue\nNorth Damientown, NH 22025-5112",management,married,tertiary,False,832,True,True,cellular,21,nov,164,1,176,1,failure,False,ignacio,franecki,4,11,21,21/11
345,36,"4378KohlerPointAve.\nGerholdland,FM30454-9013",blue-collar,single,secondary,False,219,True,True,cellular,11,may,270,2,347,1,failure,False,tobin,gorczany,3,05,11,11/05
347,55,"152 dudley manor st.\nconnhaven, nd 51136",management,married,primary,False,2587,False,False,cellular,4,sep,328,2,94,2,success,True,bethany,mitchell,5,09,04,04/09
349,47,"0933 marcellus ridge ave.\nnorth berry, ca 32891",self-employed,married,tertiary,False,2303,True,False,cellular,6,may,323,2,364,1,failure,False,delbert,skiles,4,05,06,06/05
353,50,"71580 BAILEY FLAT\NWEIMANNBERG, ID 31648-0974",management,married,tertiary,False,4,False,False,cellular,17,nov,223,1,96,2,failure,False,elwin,gislason,5,11,17,17/11
354,29,"824 Alene Ford Suite 640\nMayertmouth, MH 34654",management,married,tertiary,False,318,True,False,cellular,18,may,1434,2,356,4,failure,False,mateo,bradtke,2,05,18,18/05
367,32,"86826 R0lfs0n C0urs3\nW3st Wil3ym0uth, PW 97270",management,single,tertiary,False,8436,True,False,cellular,17,apr,245,1,149,2,failure,False,maiya,green,3,04,17,17/04
369,30,"1654 Jacky Drive \nTalonhaven, TN 63438-5379",entrepreneur,married,secondary,False,946,True,False,cellular,19,nov,1065,1,183,1,other,False,evan,farrell,3,11,19,19/11
374,42,"303 gottlieb plaza st.\nwest nathanael, as 86154",admin.,married,secondary,False,-396,True,False,cellular,11,may,80,1,308,4,failure,False,callie,green,4,05,11,11/05
375,30,"737SAWAYNFORKST.\NPORTZOEY,NM18516-7284",services,single,secondary,False,0,True,False,cellular,18,may,131,6,363,9,failure,False,christiana,runolfsdottir,3,05,18,18/05
377,37,"5507 dejuan mountain ave.\nfeliciaside, ak 47158",management,married,tertiary,False,393,True,False,cellular,14,may,567,3,275,4,failure,True,carmela,wisoky,3,05,14,14/05
380,39,"75306 Sterling Isle\nStaceyland, RI 02213-3936",blue-collar,married,secondary,False,0,True,False,cellular,30,apr,53,1,325,1,failure,False,jayne,kertzmann,3,04,30,30/04
383,37,"4004McLaughlinParksAv3.\n3n0sb3rg,IL55799",services,married,secondary,False,1328,True,False,telephone,13,may,121,2,341,4,failure,False,autumn,hoeger,3,05,13,13/05
390,33,"188 M3dhurst Rapid \nW3st Amarif0rt, M3 97698",management,single,tertiary,False,1240,True,False,cellular,4,feb,505,2,260,1,other,False,britney,hirthe,3,02,04,04/02
394,33,"510DAR3CIRCL3SAPT.664\NW3STCARM3LLACH3ST3R,MH50366-0405",blue-collar,married,secondary,False,43,True,False,cellular,14,may,332,2,358,2,failure,False,kira,swift,3,05,14,14/05
397,37,"334 Willis Trafficway \nNew Cayla, KY 53835",technician,single,tertiary,False,6101,False,False,cellular,4,may,60,5,87,1,success,False,vada,schiller,3,05,04,04/05
408,44,"6654 Ortiz Glen Ave.\nAdrainchester, AP 10683-7728",management,married,secondary,False,438,True,False,telephone,8,may,37,3,303,1,failure,False,chase,bogan,4,05,08,08/05
409,54,"0847 imogene freeway ave.\nnorth amiraport, ar 53975",admin.,married,secondary,False,0,False,False,cellular,28,jan,161,1,98,2,failure,True,maud,koss,5,01,28,28/01
412,75,"2346 Dayne Landing \nDickinsonbury, AA 81266-4462",retired,divorced,tertiary,False,3810,True,False,cellular,16,nov,262,1,183,1,failure,True,nikki,monahan,7,11,16,16/11
421,37,"749 Ophelia Unions St.\nKaileyside, NV 46187-3639",management,married,tertiary,False,502,True,False,cellular,7,may,551,1,351,1,failure,False,shawn,howe,3,05,07,07/05
423,37,"3623 Barry Bridge \nWinonaborough, GA 64781-0714",management,single,tertiary,False,876,True,False,cellular,15,apr,140,4,327,2,failure,False,fernando,balistreri,3,04,15,15/04
433,43,"4537 Nella Drive \nZboncakmouth, CO 98176-9749",blue-collar,married,secondary,False,130,False,False,cellular,5,may,156,1,337,3,failure,False,katelyn,bergnaum,4,05,05,05/05
437,27,"1580'K33f3BypassSt.\nN0rthJ3rr0dvill3,PA45023",admin.,single,secondary,False,619,True,False,cellular,20,apr,16,5,322,4,other,False,alden,frami,2,04,20,20/04
459,43,"6237 jada freeway apt. 472\nhuelfurt, mi 12358-7807",management,divorced,tertiary,False,36,False,False,cellular,26,may,118,1,102,2,failure,False,kirstin,turner,4,05,26,26/05
464,32,"783 Al3x Und3rpass Suit3 430\nR0drigu3zf0rt, C0 40446",blue-collar,married,secondary,False,889,True,False,cellular,10,sep,185,1,99,5,success,True,elmira,padberg,3,09,10,10/09
465,59,"351 ZECHARIAH ROUTE ST.\NWEST LILIAN, MO 06524",housemaid,married,secondary,False,0,False,False,telephone,3,feb,722,1,99,4,failure,False,magdalen,collier,5,02,03,03/02
477,77,"064 Jenifer Hills Apt. 691\nWilmafurt, WV 44131-4905",retired,married,tertiary,False,7802,False,False,telephone,4,may,421,1,92,2,success,True,vince,smith,7,05,04,04/05
482,40,"39793 o'reilly roads\nlake armand, il 27864",technician,married,secondary,False,694,True,False,cellular,4,feb,97,4,196,5,failure,False,giovanny,parker,4,02,04,04/02
492,53,"6422KeelingPassageSuite155\nBartonport,WV19557-6601",admin.,married,secondary,False,1796,False,False,telephone,16,mar,295,1,91,2,success,True,adonis,ledner,5,03,16,16/03
496,50,"48251Jam3yW3ll\nPac0chab3rg,ID36618",housemaid,married,secondary,False,7317,True,False,cellular,13,may,172,1,370,1,failure,False,amalia,bogisich,5,05,13,13/05
500,32,"95289 Welch River\nKurtisland, HI 57529-8854",management,single,tertiary,False,12607,False,False,cellular,14,aug,203,5,84,1,failure,False,josie,goyette,3,08,14,14/08
510,38,"7319 eldridge plains suite 980\nlake angelobury, mo 02555-3390",blue-collar,married,secondary,False,121,True,True,cellular,6,feb,168,1,212,2,failure,False,violette,block,3,02,06,06/02
512,52,"84268 Amira Path\nSouth Steveberg, HI 75159-8489",technician,married,secondary,False,195,True,False,cellular,18,feb,220,1,63,5,failure,True,kirstin,brakus,5,02,18,18/02
515,45,"8983WisozkVistaAve.\nLurlineside,NV67619",unemployed,divorced,primary,False,757,False,False,cellular,20,apr,103,1,325,4,failure,False,eloy,parisian,4,04,20,20/04
518,34,"2138ABSHIRELOCKSAVE.\NLAKEALLENESTAD,UT22403",management,married,tertiary,False,902,True,False,cellular,14,may,159,1,367,2,other,False,sandy,cassin,3,05,14,14/05
519,61,"964 Marvin Shoals St.\nSchmelerberg, MO 76921",retired,married,secondary,False,5207,False,False,cellular,11,sep,336,1,81,2,other,False,haven,gibson,6,09,11,11/09
522,43,"91350 Letha Lodge\nSouth Stella, MO 20216",admin.,divorced,secondary,False,738,True,False,cellular,21,nov,585,4,191,4,failure,False,garrick,kunde,4,11,21,21/11
528,43,"16466ALESSANDROLAND\NLAKECONSUELO,HI92810-2492",services,married,primary,False,2567,True,False,cellular,14,may,109,1,360,2,failure,False,jaron,gutmann,4,05,14,14/05
540,47,"7641HesselFordApt.869\nKertzmannberg,RI37955",admin.,single,secondary,False,3696,False,False,cellular,12,jul,250,2,181,4,success,True,jewell,pfannerstill,4,07,12,12/07
551,34,"031 Ziemann Hill Suite 828\nWest Mandy, MP 47648-4542",technician,married,secondary,False,-228,True,False,cellular,20,apr,187,3,332,3,other,False,valentine,torp,3,04,20,20/04
552,63,"219 SHANIYA SPRINGS ST.\NJ0HNST0NT0WN, MD 75701-3972",retired,married,secondary,False,2747,False,False,cellular,11,sep,113,1,80,1,failure,False,buddy,pouros,6,09,11,11/09
555,37,"501 J0an Island Apt. 889\nAri3lp0rt, NC 50913-4997",admin.,married,secondary,False,1314,True,False,cellular,8,may,682,2,85,7,success,False,alyson,zulauf,3,05,08,08/05
563,50,"9198 minni3 0rchard apt. 206\nn3w d3v0nt3, a3 77030-3754",technician,married,secondary,False,2497,True,False,cellular,21,nov,35,1,176,1,failure,False,sheldon,wilderman,5,11,21,21/11
565,40,"369HagenesViewSt.\nEastBenmouth,LA35492",technician,married,secondary,False,56,True,True,cellular,29,jan,194,1,247,1,failure,False,nicholas,kunze,4,01,29,29/01
572,53,"361 Ericka Hills St.\nNew Zechariah, OK 18316",management,married,tertiary,False,1319,True,False,cellular,16,apr,427,1,150,1,failure,False,tierra,ledner,5,04,16,16/04
578,49,"18372JanetCourts\nYasminmouth,SC77560-7783",blue-collar,married,secondary,False,171,False,False,cellular,4,feb,19,3,175,2,other,False,salma,hilpert,4,02,04,04/02
579,33,"765 Vladimir Ways Suite 474\nSouth Chloeton, MT 12200",technician,single,tertiary,False,696,False,True,cellular,5,feb,193,1,176,8,failure,False,lela,romaguera,3,02,05,05/02
596,47,"56907 Schm3l3r 0rchard\nN3w Th3r3s3, VA 07681-0066",housemaid,married,primary,False,201,True,False,cellular,7,aug,58,2,382,1,failure,False,creola,doyle,4,08,07,07/08
598,60,"5174HESSELGARDENSAVE.\NNEWBUSTER,NM01885",retired,divorced,unknown,False,-49,True,False,cellular,29,jan,188,1,261,2,failure,False,patsy,oberbrunner,6,01,29,29/01
602,50,"465Nad3rHillsSt.\nR0salindavi3w,0H81048",blue-collar,married,primary,False,12519,True,False,cellular,17,apr,146,2,147,4,success,False,nina,waters,5,04,17,17/04
614,39,"76959 Koepp Flat\nShieldsfort, HI 21848",technician,married,tertiary,False,1161,True,False,cellular,9,apr,236,1,336,1,failure,False,moshe,franecki,3,04,09,09/04
619,35,"183 weber plaza apt. 336\nnew mistyfurt, pr 19282-3276",technician,married,tertiary,False,7050,False,False,cellular,11,aug,222,3,182,4,success,True,jayde,schuster,3,08,11,11/08
623,40,"027 HARTMANN TRACE ST.\NEAST CARMELO, FL 48390",management,single,tertiary,False,1509,False,False,cellular,12,may,333,1,58,3,failure,False,garry,goodwin,4,05,12,12/05
629,59,"3242 Cristobal Lodge Suite 259\nArlieshire, MI 32711-6784",management,married,tertiary,False,2764,False,False,cellular,24,dec,237,1,206,2,failure,False,geovanny,boyer,5,12,24,24/12
631,33,"857 Henderson Extensions St.\nNorth Patience, CT 35317-2411",technician,married,tertiary,False,8023,False,False,cellular,30,nov,107,1,105,3,failure,False,mariela,ullrich,3,11,30,30/11
647,46,"236 Jenkins Forest St.\nNorth Fanniefurt, NE 28011-3470",management,divorced,tertiary,False,6269,True,False,telephone,18,nov,249,3,112,2,failure,False,cooper,mohr,4,11,18,18/11
649,60,"9588Margar3ttAv3nu3Av3.\nN3wCarmin3hav3n,MH48761-6566",management,married,primary,False,252,True,True,cellular,13,apr,123,2,147,3,failure,False,ben,cassin,6,04,13,13/04
650,33,"12572 K3SSL3R PRAIRI3\NVIRGI3P0RT, A3 66561-0992",housemaid,single,tertiary,False,23663,True,False,cellular,16,apr,199,2,146,2,failure,False,erna,nienow,3,04,16,16/04
651,27,"9860KYLECOURTAVE.\NPORTMITTIESHIRE,AS40507",entrepreneur,single,tertiary,False,81,False,False,cellular,5,feb,197,1,199,3,failure,False,emily,ziemann,2,02,05,05/02
657,64,"729 Treutel Neck St.\nMosciskiland, AP 61303-8099",retired,married,primary,False,43,False,False,cellular,11,mar,117,1,91,1,success,False,giuseppe,o'reilly,6,03,11,11/03
658,47,"532LEONELRUE\NDYLANSIDE,VT99268",technician,married,secondary,False,57,False,False,cellular,5,may,253,1,342,1,success,False,juwan,kris,4,05,05,05/05
660,36,"6188 Wehner Roads Apt. 920\nPort Oralmouth, RI 59646-8825",technician,divorced,secondary,False,666,True,True,cellular,3,apr,190,1,133,1,other,False,dorian,mills,3,04,03,03/04
663,53,"225 KEELING STATION ST.\NWEST VICTORTOWN, HI 10589-3563",entrepreneur,married,primary,False,1034,True,False,cellular,19,nov,854,2,170,3,other,False,serena,hyatt,5,11,19,19/11
665,54,"6684 Kassandra C0urt Apt. 940\nBradyt0wn, RI 81806",technician,married,secondary,False,0,False,False,telephone,16,nov,986,1,94,8,failure,False,isabelle,koch,5,11,16,16/11
667,55,"2069 collins courts \ncummingsbury, la 99915-0359",management,married,primary,False,621,False,True,cellular,2,feb,114,1,208,1,failure,False,danika,kirlin,5,02,02,02/02
671,44,"197MadisonMissionSt.\nNorthJoesph,MO64501-0972",technician,married,secondary,False,310,True,False,cellular,6,feb,200,1,253,1,failure,False,kevon,mckenzie,4,02,06,06/02
672,32,"375 Purdy Walk St.\nBradlyport, MN 53300-7703",entrepreneur,married,unknown,False,73,True,False,cellular,21,nov,158,1,135,1,failure,False,will,wiegand,3,11,21,21/11
675,37,"217 Izaiah Fi3lds Apt. 796\nS0uth Mari0p0rt, ND 46754-7969",technician,married,secondary,False,64,True,False,cellular,12,may,239,4,278,2,other,False,wilson,towne,3,05,12,12/05
684,28,"4941K03PPPIN3AV3.\NLAK3CRAIG,MP97506",services,single,secondary,False,168,False,False,cellular,1,jun,347,3,140,2,success,True,elliott,rempel,2,06,01,01/06
685,46,"3627JeffryVilleAve.\nMcClureview,AS31128-4563",services,married,secondary,False,1550,True,False,cellular,16,apr,126,2,149,8,failure,False,delores,jacobson,4,04,16,16/04
699,35,"1494 Murphy P0rt Av3.\nW3st Ludi3stad, LA 45035-3101",entrepreneur,married,tertiary,False,0,False,False,cellular,5,may,74,1,168,4,failure,False,lydia,mayert,3,05,05,05/05
713,25,"298 R00s3v3lt Parkway St.\nP0rt Katrin3, WV 06393",student,single,secondary,False,1790,False,False,cellular,17,apr,224,1,322,3,failure,False,ransom,nicolas,2,04,17,17/04
718,40,"200 skiles spur \nsouth lorenzo, tx 50067",blue-collar,married,secondary,False,498,True,False,cellular,8,may,55,2,298,4,failure,False,forest,schumm,4,05,08,08/05
724,26,"27875 Tristian Lodge\nNew Alexandramouth, UT 78924",technician,single,secondary,False,455,False,False,cellular,29,jan,240,1,182,8,other,False,deion,walter,2,01,29,29/01
725,31,"6502 Allene Meadows Apt. 276\nSouth Roxane, AL 36501",management,married,tertiary,False,1010,True,False,cellular,15,may,385,3,364,9,other,False,corrine,shanahan,3,05,15,15/05
731,48,"7403 Amadi Park Ave.\nKelvinfort, PR 50295",blue-collar,married,primary,False,1092,False,True,cellular,18,nov,79,1,172,8,failure,False,shana,carroll,4,11,18,18/11
738,36,"6044 carl33 m0unt \ns0uth jac3bury, in 10372",technician,single,secondary,False,1855,True,False,cellular,4,feb,75,1,273,1,failure,False,amadi,keeling,3,02,04,04/02
742,46,"38744 kreiger vista\nshanahantown, ut 34820-6485",services,married,secondary,False,0,True,False,cellular,22,jun,154,1,124,1,other,False,fern,kirlin,4,06,22,22/06
764,28,"63737 C3cilia N3ck\nN3w Dallasb0r0ugh, NV 00524",services,married,secondary,False,0,True,False,cellular,5,may,335,2,281,8,failure,False,mollie,toy,2,05,05,05/05
